IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20121106_GEN_REGVOTED_ALL,USA_CA_20121106_GEN_REGVOTED_AFF_DEM,USA_CA_20121106_GEN_REGVOTED_AFF_REP,USA_CA_20121106_GEN_REGVOTED_AFF_OTH,USA_CA_20121106_GEN_REGVOTED_AFF_DCL,USA_CA_20121106_GEN_REGVOTED_SEX_MALE,USA_CA_20121106_GEN_REGVOTED_SEX_FEMALE,USA_CA_20121106_GEN_REGVOTED_NAT_HISP,USA_CA_20121106_GEN_REGVOTED_NAT_JEW,USA_CA_20121106_GEN_REGVOTED_NAT_ASI,USA_CA_20121106_GEN_REGVOTED_NAT_OTH,USA_CA_20121106_GEN_REGVOTED_AGE_1824,USA_CA_20121106_GEN_REGVOTED_AGE_2534,USA_CA_20121106_GEN_REGVOTED_AGE_3544,USA_CA_20121106_GEN_REGVOTED_AGE_4554,USA_CA_20121106_GEN_REGVOTED_AGE_5564,USA_CA_20121106_GEN_REGVOTED_AGE_65PL,USA_CA_20121106_GEN_REGVOTED_REG_CYC1_G10,USA_CA_20121106_GEN_REGVOTED_REG_CYC2_G08,USA_CA_20121106_GEN_REGVOTED_REG_CYC3_G06,USA_CA_20121106_GEN_REGVOTED_REG_CYC4_G04,USA_CA_20121106_GEN_REGVOTED_REG_CYC5_G02,USA_CA_20121106_GEN_REGVOTED_REG_CYC6_G00,USA_CA_20121106_GEN_REGVOTED_REG_CYC7_G98,USA_CA_20121106_GEN_REGVOTED_REG_CYC8_G96,USA_CA_20121106_GEN_REGVOTED_REG_CYCN_NON
0,_Alameda,_06001200100,_200100,655,489,35,45,86,315,340,12,98,46,499,32,65,70,111,130,247,111,71,101,49,54,27,23,20,199
0,_Alameda,_06001200200,_200200,611,446,38,42,85,297,314,14,62,48,487,30,41,64,98,160,218,85,65,72,31,48,30,25,32,223
0,_Alameda,_06001200300,_200300,483,348,23,32,80,231,252,19,56,39,369,19,43,67,76,92,186,104,42,56,46,42,14,25,6,148
0,_Alameda,_06001200600,_200600,571,408,35,43,85,301,270,6,72,37,456,36,61,75,91,121,187,108,68,85,40,67,23,21,17,142
0,_Alameda,_06001200700,_200700,547,399,23,43,82,270,277,16,60,32,439,31,60,60,76,137,183,106,65,81,44,32,19,18,15,167
0,_Alameda,_06001200800,_200800,520,371,29,45,75,248,272,17,80,19,404,20,47,76,97,106,174,100,54,76,33,51,17,19,25,145
0,_Alameda,_06001201000,_201000,523,385,35,32,71,258,265,25,65,44,389,24,32,61,117,103,186,88,69,65,41,42,22,31,27,138
0,_Alameda,_06001201100,_201100,564,423,27,38,76,281,283,12,69,33,450,26,49,91,79,103,216,83,59,77,52,51,20,26,11,185
0,_Alameda,_06001201300,_201300,503,365,16,55,67,246,257,14,67,24,398,45,71,73,94,109,111,127,63,88,24,36,19,20,15,111
0,_Alameda,_06001201400,_201400,673,492,41,50,90,329,344,34,64,50,525,67,108,79,73,129,217,182,85,77,50,43,17,26,17,176
0,_Alameda,_06001201410,_201410,476,341,22,48,65,217,259,12,45,29,390,16,69,66,62,102,161,95,69,52,31,34,18,19,12,146
0,_Alameda,_06001201500,_201500,505,364,26,42,73,255,250,3,81,29,392,28,69,55,111,95,147,121,58,49,42,53,14,13,18,137
0,_Alameda,_06001201700,_201700,637,377,31,111,118,339,298,30,54,78,475,135,171,87,89,55,100,304,93,73,28,34,10,6,13,76
0,_Alameda,_06001201800,_201800,621,402,21,93,105,302,319,25,47,77,472,97,160,83,63,81,137,235,69,69,40,41,24,17,9,117
0,_Alameda,_06001201900,_201900,272,163,15,56,38,127,145,18,25,42,187,74,87,29,17,27,38,147,29,29,11,20,3,1,2,30
0,_Alameda,_06001202110,_202110,538,320,23,107,88,271,267,40,42,69,387,161,143,51,56,67,60,284,76,61,29,17,8,9,4,50
0,_Alameda,_06001202310,_202310,483,289,24,102,68,262,221,34,43,33,373,158,92,32,49,64,88,225,49,54,23,42,10,9,5,66
0,_Alameda,_06001202400,_202400,380,177,16,139,48,201,179,46,18,109,207,339,32,4,1,0,3,337,29,12,1,1,0,0,0,0
0,_Alameda,_06001202410,_202410,534,290,25,142,77,291,243,49,51,80,354,331,87,29,27,27,33,365,63,45,12,12,2,3,5,27
0,_Alameda,_06001202500,_202500,420,216,35,102,67,229,191,40,25,93,262,335,41,7,17,11,9,318,50,22,7,5,2,4,2,10
0,_Alameda,_06001202510,_202510,434,218,29,126,61,251,183,41,32,52,309,368,46,9,6,2,3,350,48,21,4,3,3,1,0,4
0,_Alameda,_06001202520,_202520,141,77,9,38,17,62,79,13,11,22,95,119,9,3,1,9,0,117,14,3,0,1,0,0,0,6
0,_Alameda,_06001202620,_202620,937,493,56,287,101,468,469,135,46,260,496,884,25,10,10,3,4,838,70,22,3,3,0,0,1,0
0,_Alameda,_06001202710,_202710,491,310,20,86,75,217,274,28,52,76,335,196,62,46,56,59,72,250,45,45,22,26,7,10,11,75
0,_Alameda,_06001202900,_202900,511,355,26,39,91,233,278,10,73,35,393,41,86,65,84,80,155,131,54,66,40,48,12,13,17,130
0,_Alameda,_06001203100,_203100,587,439,40,32,76,294,293,24,86,23,454,34,60,49,95,135,214,116,62,75,53,39,22,27,28,165
0,_Alameda,_06001203200,_203200,479,329,57,26,67,236,243,8,69,16,386,18,32,68,85,107,169,56,53,63,39,36,20,30,23,159
0,_Alameda,_06001203300,_203300,512,397,20,33,62,232,280,19,65,22,406,36,69,63,101,94,149,113,60,80,31,35,19,15,14,145
0,_Alameda,_06001203400,_203400,550,404,19,42,85,260,290,10,67,30,443,32,66,63,94,117,178,98,80,76,37,40,25,22,22,150
0,_Alameda,_06001203500,_203500,873,561,46,142,124,422,451,42,74,101,656,282,66,70,84,110,261,405,88,81,42,67,27,17,11,135
0,_Alameda,_06001203800,_203800,720,532,22,82,84,348,372,38,84,49,549,50,146,117,115,138,154,190,107,84,55,55,25,27,19,158
0,_Alameda,_06001204000,_204000,833,546,27,124,136,421,412,31,88,101,613,247,150,95,107,123,111,385,91,94,29,57,21,21,21,114
0,_Alameda,_06001204100,_204100,392,255,4,56,77,199,193,23,52,37,280,54,98,67,56,59,58,140,70,46,28,27,15,8,8,50
0,_Alameda,_06001204210,_204210,765,511,25,130,99,382,383,54,69,97,545,244,124,96,86,119,96,367,73,75,32,45,19,21,18,115
0,_Alameda,_06001204220,_204220,407,241,19,96,51,234,173,48,19,82,258,225,82,17,26,29,28,274,44,37,11,7,2,2,3,27
0,_Alameda,_06001204300,_204300,846,555,22,129,140,409,437,35,79,69,663,157,187,140,107,141,114,309,105,103,53,65,33,23,11,144
0,_Alameda,_06001204310,_204310,863,595,15,138,115,404,459,61,61,49,692,129,197,126,103,149,159,337,109,113,47,55,20,26,12,144
0,_Alameda,_06001204600,_204600,875,521,42,198,114,440,435,92,68,127,588,367,169,82,67,81,109,518,100,74,23,35,16,26,7,76
0,_Alameda,_06001204900,_204900,883,497,33,242,111,435,448,192,27,209,455,663,118,42,26,18,16,693,88,44,10,8,5,6,7,22
0,_Alameda,_06001205000,_205000,541,395,26,31,89,254,287,19,67,33,422,33,36,54,99,134,185,94,52,71,45,46,11,25,20,177
0,_Alameda,_06001205100,_205100,623,493,36,20,74,288,335,19,86,40,478,33,37,55,91,159,248,96,50,75,51,47,27,30,27,220
0,_Alameda,_06001205200,_205200,718,539,34,36,109,346,372,24,79,31,584,39,42,68,133,179,257,98,57,95,50,67,26,43,29,253
0,_Alameda,_06001205500,_205500,651,487,27,45,92,303,348,17,82,33,519,22,63,85,121,139,221,86,68,81,41,64,34,36,29,212
0,_Alameda,_06001205600,_205600,971,753,30,67,121,431,540,31,98,67,775,44,85,130,198,217,297,160,91,137,85,104,34,39,28,293
0,_Alameda,_06001205700,_205700,694,534,37,41,82,331,363,14,89,47,544,52,58,65,132,171,216,115,71,86,64,55,29,25,25,224
0,_Alameda,_06001205800,_205800,564,433,18,29,84,259,305,14,62,45,443,38,32,60,103,139,192,87,52,85,35,51,26,26,26,176
0,_Alameda,_06001205900,_205900,622,464,32,40,86,296,326,11,76,44,491,27,65,104,107,136,183,106,61,73,37,57,18,34,19,217
0,_Alameda,_06001206000,_206000,520,400,22,36,62,244,276,17,70,41,392,28,56,74,102,102,158,87,63,51,29,50,28,26,12,174
0,_Alameda,_06001206100,_206100,929,695,45,79,110,448,481,27,114,47,741,55,122,111,178,183,280,214,97,125,61,70,35,39,38,250
0,_Alameda,_06001206200,_206200,549,401,23,43,82,259,290,18,63,41,427,48,105,92,71,105,128,159,75,69,26,37,18,24,22,119
0,_Alameda,_06001206400,_206400,920,656,23,106,135,423,497,34,89,69,728,62,202,134,131,168,223,255,140,122,53,69,20,31,27,203
0,_Alameda,_06001206500,_206500,628,395,21,119,93,340,288,32,51,55,490,145,178,70,63,93,79,283,78,81,40,36,12,16,8,74
0,_Alameda,_06001206600,_206600,488,298,15,90,85,262,226,33,41,72,342,114,144,42,45,47,96,217,75,53,33,24,11,13,8,54
0,_Alameda,_06001206700,_206700,551,351,24,86,90,279,272,24,48,49,430,74,141,88,69,79,100,209,68,79,22,35,20,21,4,93
0,_Alameda,_06001207000,_207000,530,391,12,51,76,248,282,18,70,31,411,28,83,95,108,92,124,121,67,69,37,47,10,25,17,137
0,_Alameda,_06001207100,_207100,445,353,11,30,51,201,244,18,51,27,349,22,37,81,80,113,112,77,47,57,39,37,15,20,7,146
0,_Alameda,_06001207200,_207200,529,374,18,60,77,252,277,29,56,49,395,40,102,90,85,104,108,128,73,70,30,47,17,26,18,120
0,_Alameda,_06001207300,_207300,483,332,14,62,75,234,249,20,43,32,388,40,105,91,82,82,83,129,71,69,37,40,24,15,10,88
0,_Alameda,_06001207500,_207500,503,316,15,78,94,242,261,25,44,44,390,61,131,60,70,64,117,164,68,89,36,40,13,9,3,81
0,_Alameda,_06001207600,_207600,489,264,26,126,73,262,227,57,26,106,300,231,115,58,32,31,22,335,72,39,6,10,8,4,4,11
0,_Alameda,_06001207700,_207700,927,552,37,199,139,519,408,100,49,154,624,354,239,61,76,89,108,551,102,70,43,32,16,24,19,70
0,_Alameda,_06001208000,_208000,668,429,12,110,117,331,337,34,59,79,496,95,210,99,89,84,91,278,90,76,37,35,14,20,18,100
0,_Alameda,_06001208010,_208010,856,565,30,131,130,405,451,39,59,86,672,56,191,130,148,159,172,255,122,122,62,63,26,37,27,142
0,_Alameda,_06001208100,_208100,485,346,17,64,58,227,258,26,46,28,385,34,94,99,79,99,80,144,51,60,40,42,15,19,18,96
0,_Alameda,_06001208110,_208110,490,340,16,66,68,235,255,31,49,48,362,53,107,78,74,84,94,141,76,61,25,39,24,12,11,101
0,_Alameda,_06001208200,_208200,513,351,17,76,69,241,272,20,46,33,414,44,118,87,82,90,92,133,59,84,34,51,17,15,22,98
0,_Alameda,_06001208210,_208210,582,395,13,92,82,281,301,24,44,42,472,64,133,101,95,110,79,178,79,89,49,53,14,11,11,98
0,_Alameda,_06001208300,_208300,698,481,15,89,113,326,372,35,57,40,566,54,129,145,120,116,134,191,102,113,44,52,20,31,20,125
0,_Alameda,_06001208310,_208310,532,369,14,75,74,253,279,49,30,32,421,64,113,118,94,88,55,187,85,99,26,27,14,15,10,69
0,_Alameda,_06001208400,_208400,637,450,15,80,92,314,323,57,52,27,501,60,157,130,108,92,90,209,104,99,62,37,15,19,12,80
0,_Alameda,_06001208500,_208500,560,381,22,78,79,284,276,39,45,43,433,89,120,66,74,113,98,185,80,75,42,40,10,17,16,95
0,_Alameda,_06001208510,_208510,673,472,12,72,117,321,352,39,46,35,553,57,154,100,109,117,136,195,87,109,51,60,27,22,16,106
0,_Alameda,_06001208600,_208600,362,236,4,66,56,175,187,28,36,20,278,36,92,76,51,63,44,136,38,54,24,25,17,10,5,53
0,_Alameda,_06001208610,_208610,637,434,12,85,106,307,330,38,32,30,537,59,176,117,100,99,86,230,95,96,39,44,15,20,15,83
0,_Alameda,_06001208700,_208700,685,469,15,97,104,323,362,77,32,41,535,75,209,116,106,98,81,222,123,127,29,54,17,24,14,75
0,_Alameda,_06001208710,_208710,327,231,12,36,48,154,173,32,31,19,245,26,79,73,67,54,28,111,38,60,28,28,7,12,2,41
0,_Alameda,_06001208800,_208800,624,413,15,110,86,298,326,39,40,27,518,86,211,117,83,75,52,293,113,87,26,30,11,16,8,40
0,_Alameda,_06001208810,_208810,660,498,8,71,83,305,355,65,25,17,553,53,141,163,103,95,105,218,81,120,37,56,23,19,15,91
0,_Alameda,_06001208900,_208900,595,422,19,77,77,278,317,37,24,22,512,50,105,124,117,94,105,192,78,77,38,60,11,26,15,98
0,_Alameda,_06001208910,_208910,597,451,16,54,76,265,332,39,31,26,501,46,106,116,96,119,114,163,81,105,47,48,22,22,17,92
0,_Alameda,_06001209000,_209000,623,461,6,73,83,283,340,33,52,24,514,39,102,125,129,110,118,158,58,100,37,57,19,31,20,143
0,_Alameda,_06001209010,_209010,664,496,22,68,78,311,353,54,30,29,551,43,125,131,120,108,137,172,99,130,46,43,24,15,23,112
0,_Alameda,_06001209100,_209100,609,450,13,73,73,284,325,39,49,26,495,40,125,137,113,106,88,174,85,79,31,54,24,20,16,126
